Das Geld der Welt: Die Alte Welt - Eurasien;Regal 1;Ebene 7;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Band 12: Hulk - Im Fadenkreuz;Regal 3;Ebene 7;Peter David & Todd McFarlane;Marvel Exklusiv;276;1988/1998
Band 13: Spider-Man - Erlösung;Regal 3;Ebene 7;J.M. DeMatteis, Mike Zeck & Bob McLeod;Marvel Exklusiv;112;1996/1999
Band 14: Spider-Man gegen Venom;Regal 3;Ebene 7;David Micheline;Marvel Exklusiv;112;1988-1989
Band 16: Die Fantastischen Vier;Regal 3;Ebene 7;John Byrne;Marvel Exklusiv;176;1981-1982
Band 17: Daredevil: Versuchung;Regal 3;Ebene 7;Ann Nocenti & John Romita Junior;Marvel Exklusiv;192;1988
Band 18: Spider-Man - Die Ersten Jahre;Regal 3;Ebene 7;Kurt Busiek;Marvel Exklusiv;176;1995-1996
Band 21: Die Fantastischen Vier II;Regal 3;Ebene 7;John Byrne;Marvel Exklusiv;160;1982
Band 22: Die Spider-Man Akten;Regal 3;Ebene 7;Peter David, Tom DeFalco, Glenn Greenberg, Roger Stern & Kurt Busiek;Marvel Exklusiv;208;1995-1997
Band 23: Spider-Man - Verschwörung;Regal 3;Ebene 7;David Micheline;Marvel Exklusiv;144;1989
Band 24: Spider-Man - Die Ersten Jahre II;Regal 3;Ebene 7;Kurt Busiek;Marvel Exklusiv;192;1996-1997
Band 26: Daredevil: Höllenfahrt;Regal 3;Ebene 7;D.G. Chichester;Marvel Exklusiv;208;1993-1994
Band 27: Spider-Man - Die Ersten Jahre III;Regal 3;Ebene 7;Kurt Busiek, G.L.Lawrence, Tom DeFalco & Roger Stern;Marvel Exklusiv;176;1997
Band 28: Die Fantastischen Vier III;Regal 3;Ebene 7;John Byrne;Marvel Exklusiv;144;1982-1983
Band 29: Die Wolverine Akten;Regal 3;Ebene 7;Walter Simonson, Alan Davis, John Ney Rieber & Joe Casey;Marvel Exklusiv;208;1990-1998
