Das Geld der Welt: Die Alte Welt - Eurasien;Ebene 7;Regal 1;Island, Lettland, Russland, Hongkong, Malaysia, Singapur, Vereinigte Arabische Emirate, China;3. Elemente der Welt - Geld, Geschichte und Reisen;8 Sätze;1986-2014
Das Geld der Welt: Die Alte Welt - Afrika;;Regal 1;In Arbeit - Vorhanden: Ägypten, Namibia, Seychellen, Südafrika;3. Elemente der Welt - Geld, Geschichte und Reisen;4 Sätze;2002-2017
Das Geld der Welt: Die Neue Welt - Amerika;Ebene 7;Regal 1;Bahamas, Costa Rica, Jamaika, Kanada, Mexiko, Ostkaribische Staaten, Trinidad und Tobago, Vereinigte Staaten von Amerika, Brasilien, Argentinien, Venezuela;3. Elemente der Welt - Geld, Geschichte und Reisen;11 Sätze;1979-2018
Das Geld der Welt: Die Neue Welt - Ozeanien;;Regal 1;In Arbeit - Vorhanden: Australien, Neuseeland, Papua-Neuguinea;3. Elemente der Welt - Geld, Geschichte und Reisen;3 Sätze;2004-2014
Das Geld der Welt: Die 2-Euro-Gedenkmünzen;Ebene 7;Regal 1;In Arbeit;3. Elemente der Welt - Geld, Geschichte und Reisen;????;Ab 2002
Die echte Kölsche Küche-Et Orjenal;Ebene 7;Regal 1;Jens Dreisbach und Verlagsarchiv (Komet);4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;144;2015
Omas schönste Kochrezepte;Ebene 7;Regal 1;Herausgeber Naumann & Göbel;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;160;2012
Raffinierte Köstlichkeiten der Welt - Gebäck;Ebene 7;Regal 1;Sylvia Winnewisser;4. Elemente der Wohnung - Wirtschaft, Medien und Kochen;256;2000
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Band 17: Daredevil: Versuchung;Ebene 7;Regal 3;Ann Nocenti & John Romita Junior;Marvel Exklusiv;192;1988
Band 18: Spider-Man - Die Ersten Jahre;Ebene 7;Regal 3;Kurt Busiek;Marvel Exklusiv;176;1995-1996
Band 21: Die Fantastischen Vier II;Ebene 7;Regal 3;John Byrne;Marvel Exklusiv;160;1982
Band 22: Die Spider-Man Akten;Ebene 7;Regal 3;Peter David, Tom DeFalco, Glenn Greenberg, Roger Stern & Kurt Busiek;Marvel Exklusiv;208;1995-1997
Band 23: Spider-Man - Verschwörung;Ebene 7;Regal 3;David Micheline;Marvel Exklusiv;144;1989
Band 24: Spider-Man - Die Ersten Jahre II;Ebene 7;Regal 3;Kurt Busiek;Marvel Exklusiv;192;1996-1997
Band 26: Daredevil: Höllenfahrt;Ebene 7;Regal 3;D.G. Chichester;Marvel Exklusiv;208;1993-1994
Band 27: Spider-Man - Die Ersten Jahre III;Ebene 7;Regal 3;Kurt Busiek, G.L.Lawrence, Tom DeFalco & Roger Stern;Marvel Exklusiv;176;1997
Band 28: Die Fantastischen Vier III;Ebene 7;Regal 3;John Byrne;Marvel Exklusiv;144;1982-1983
Band 29: Die Wolverine Akten;Ebene 7;Regal 3;Walter Simonson, Alan Davis, John Ney Rieber & Joe Casey;Marvel Exklusiv;208;1990-1998
Band 30: The Punisher - War Zone;Ebene 7;Regal 3;Chuck Dixon;Marvel Exklusiv;272;1992-1993
Band 31: The Punisher - Psychoville;Ebene 7;Regal 3;Pan Abnett & Andy Lanning;Marvel Exklusiv;112;1993
Band 33: X-Men - Kinder des Atom;Ebene 7;Regal 3;Joe Casey;Marvel Exklusiv;160;1999-2000
Band 36: Galactus - Der Welten Verschlinger;Ebene 7;Regal 3;Louise Simonson;Marvel Exklusiv;176;1999-2000
Band 38: X-Men aller Zeiten;Ebene 7;Regal 3;Fabian Nicieza;Marvel Exklusiv;160;2001
Band 39: X-Force;Ebene 7;Regal 3;Peter Milligan;Marvel Exklusiv;160;2001-2002
Band 41: Captain Marvel;Ebene 7;Regal 3;Peter David;Marvel Exklusiv;160;1999-2000
Band 42: Daredevil - Kopfgeld;Ebene 7;Regal 3;Brian Michael Bendis;Marvel Exklusiv;144;2001-2002
Band 44: Hulk - Dystopia;Ebene 7;Regal 3;Peter David;Marvel Exklusiv;144;1992
Band 45: Carnage;Ebene 7;Regal 3;David Michelinie & Warren Ellis;Marvel Exklusiv;144;1992-1996
Band 46: Daredevil - Ende eines Helden;Ebene 7;Regal 3;Brian Michael Bendis;Marvel Exklusiv;144;2002
Band 47: Die Spider-Man Akten II;Ebene 7;Regal 3;James Owsley, Roy Thomas & Gerry Conway;Marvel Exklusiv;128;1987+1992
Band 50: Spider-Man;Ebene 7;Regal 3;Todd McFarlane;Marvel Exklusiv;192;1989-1990
Band 51: Spider-Man;Ebene 7;Regal 3;Todd McFarlane;Marvel Exklusiv;208;1989-1991
Band 52: The Punisher;Ebene 7;Regal 3;Carl Potts;Marvel Exklusiv;176;1988-1989
Band 78: Captain Britain;Ebene 7;Regal 3;Alan Moore;Marvel Exklusiv;204;1982-1984
Cloak und Dagger: Ein Licht in der Finsternis;Ebene 7;Regal 4;Mike Baron, Bill Mantlo, Stuart Moore, Nick Spencer & Brian K. Vaughan;Marvel Sonderband;184;1982-2011
Silver Surfer: Parabel;Ebene 7;Regal 4;Stan Lee;Marvel Hardcover;168;1988/2012
Daredevil: Der Mann ohne Furcht;Ebene 7;Regal 4;Frank Miller;Das erste Jahr von .... Daredevil;156;1993-1994
The Infinity Gauntlet - Die ewige Fehde;Ebene 7;Regal 4;Jim Starlin;Marvel Sonderband;256;1991
X-Men - Ein neuer Anfang;Ebene 7;Regal 4;Chris Claremont, Jim Lee, John Byrne & Scott Lobdell;Marvel Sonderband;184;1991
Venom - Tödlicher Beschützer;Ebene 7;Regal 4;David Michelinie Carl Potts;Marvel Sonderband;220;1993
Spider-Man: Maximum Carnage Band 1;Ebene 7;Regal 4;Tom DeFalco, J.M. DeMatteis, Terry Kavanagh & David Micheline;Marvel Sonderband;176;1993
The Infinity Gauntlet - Das ewige Paradies;Ebene 7;Regal 4;Jim Starlin;Marvel Sonderband;256;1993
Spider-Man: Maximum Carnage Band 2;Ebene 7;Regal 4;Tom DeFalco, J.M. DeMatteis, Terry Kavanagh & David Micheline;Marvel Sonderband;176;1993
Deadpool - Band 1: Mörder, Miezen und Moneten;Ebene 7;Regal 4;Fabian Nicieza & Mark Waid;Deadpool Killer-Kollektion;196;1993-1994
Spider-Man - Die Klon-Saga: Band 1;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh & Howard Mackie;Spider-Man: Die Klon-Saga;236;1994
Spider-Man - Die Klon-Saga: Band 2;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh & Howard Mackie;Spider-Man: Die Klon-Saga;292;1995
X-Men - Zeit der Apokalypse: Band 1;Ebene 7;Regal 4;Scott Lobdell, Mark Waid, Fabian Nicieza, Howard Mackie & Warren Ellis;X-Men: Apokalypse;380;1995
X-Men - Zeit der Apokalypse: Band 2;Ebene 7;Regal 4;Fabian Nicieza, Howard Mackie, John Francis Moore, Jeph Loeb & Larry Hama;X-Men: Apokalypse;340;1995
X-Men - Zeit der Apokalypse: Band 3;Ebene 7;Regal 4;Terry Kavanagh, Scott Lobdell, Jeph Loeb, John Francis Moore, Fabian Nicieza & Mark Waid;X-Men: Apokalypse;316;1995
Spider-Man - Die Klon-Saga: Band 3;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie & Todd DeZago;Spider-Man: Die Klon-Saga;244;1995
Spider-Man - Die Klon-Saga: Band 4;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;316;1995
Spider-Man - Die Klon-Saga: Band 5;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;284;1995
Spider-Man - Die Klon-Saga: Band 6;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;292;1996
Spider-Man - Die Klon-Saga: Band 7;Ebene 7;Regal 4;Tom DeFalco, J. M. DeMatteis, Terry Kavanagh, Howard Mackie, Jean Marc de Matteis & Todd DeZago;Spider-Man: Die Klon-Saga;324;1996
Deadpool - Band 3: Keiner kann's besser;Ebene 7;Regal 4;Joe Kelly;Deadpool Killer-Kollektion;148;1997
Deadpool - Band 4: Totgesagte leben länger;Ebene 7;Regal 4;Joe Kelly;Deadpool Killer-Kollektion;156;1997-1998
Deadpool - Band 5: Der Kuss des Todes;Ebene 7;Regal 4;Joe Kelly & James Felder;Deadpool Killer-Kollektion;156;1998
Deadpool - Band 6: Karma Drama;Ebene 7;Regal 4;Joe Kelly & James Felder;Deadpool Killer-Kollektion;180;1998
Marvel Knights: Black Panther;Ebene 7;Regal 4;Christopher Priest & Joe Quesada;Marvel Sonderband;136;1998-1999
Deadpool - Band 7: Buenos Días, Messias;Ebene 7;Regal 4;Joe Kelly & James Felder;Deadpool Killer-Kollektion;156;1998-1999
Deadpool - Band 8: Bis dass der Tod uns scheidet;Ebene 7;Regal 4;Joe Kelly;Deadpool Killer-Kollektion;144;1999
Deadpool - Band 9: Gott für einen Tag!;Ebene 7;Regal 4;Christopher Priest;Deadpool Killer-Kollektion;148;1999-2000
Deadpool - Band 10: Krawall im All!;Ebene 7;Regal 4;Glenn Herdling & Christopher Priest;Deadpool Killer-Kollektion;160;2000
Deadpool - Band 11: Held für Kopfgeld;Ebene 7;Regal 4;Jimmy Palmiotti & Buddy Scalera;Deadpool Killer-Kollektion;144;2000-2001
Deadpool - Band 12: Solo für zwei Killer;Ebene 7;Regal 4;Jimmy Palmiotti & Buddy Scalera;Deadpool Killer-Kollektion;128;2000-2001
Deadpool - Band 13: Pieta mit Pistolen;Ebene 7;Regal 4;Buddy Scalera & Frank Tieri;Deadpool Killer-Kollektion;192;2001-2002
Deadpool - Band 14: Ruhe in Unfrieden;Ebene 7;Regal 4;Gail Simone;Deadpool Killer-Kollektion;124;2002
Deadpool - Band 15: Wer ist Agent X? Und wo steckt Deadpool?;Ebene 7;Regal 4;Gail Simone;Deadpool Killer-Kollektion;156;2002-2003
Deadpool - Band 16: Mit Karacho ins Chaos;Ebene 7;Regal 4;Evan Dorkin, Vuddy Scalera, Gail Simone & Daniel Way;Deadpool Killer-Kollektion;208;2003
Runaways: Ausreisser;Ebene 7;Regal 4;Brian K. Vaughan;Marvel Megaband;434;2003-2004
Marvel 1602;Ebene 7;Regal 4;Neil Gaiman;Marvel Sonderband;248;2003-2004
Die Marvel Kinofilme: Von Iron Man bis Avengers Infinity War;Ebene 7;Regal 4;Adam Bray;Marvel Studios;128;2018
Lexikon der Superhelden;Ebene 7;Regal 4;Adam Bray;Marvel Studios;176;2018-2019
Band 1: Hinter der Maske;Ebene 7;Regal 5;Paul Jenkins;Peter Parker: Spider-Man;188;2000-2001
Band 2: Fatale Fusionen;Ebene 7;Regal 5;Paul Jenkins;Peter Parker: Spider-Man;260;2001
Band 3: Eiskalte Fusion;Ebene 7;Regal 5;Paul Jenkins;Peter Parker: Spider-Man;172;2001-2002
Band 4: Donnerndes Kobold-Gelächter;Ebene 7;Regal 5;Paul Jenkins;Peter Parker: Spider-Man;188;2002-2003
Wolverine: Xisle;Ebene 7;Regal 5;Bruce Jones;100% Marvel;120;2003
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Sagen des klassischen Altertums;Ebene 7;Regal 5;Gustav Schwab;Franks Sagen und Legenden;672;1970
Nordische Mythen und Sagen;Ebene 7;Regal 5;Neil Gaiman;Franks Sagen und Legenden;256;2016/2019
Nordische Götter- und Heldensagen;Ebene 7;Regal 5;Edmund Mudrak;Franks Sagen und Legenden;328;1954/2019
Wunder und Rätsel der Heiligen Schrift;Ebene 7;Regal 5;Ingrid Zeltwanger im Auftrag von Reader's Digest;Franks Sagen und Legenden;384;1990
Das Grosse Hausbuch der Sagen;Ebene 7;Regal 5;Sabine Kieslich;Franks Sagen und Legenden;288;1996
Mythologie - Götter, Helden und Mythen;Ebene 7;Regal 5;Verschiedene;Franks Sagen und Legenden;320;2004
Mystica - Die großen Rätsel der Menschheit;Ebene 7;Regal 5;Peter Fiebag, Elmar Gruber & Rainer Holbe;Mysterien der Welt;1082;2004
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Spass Wars;Ebene 7;Regal 6;Matthias Kringe;Star Wars;66;2012/2013
Star Wars: Das Buch der Jedi;Ebene 7;Regal 6;Danielle Wallace;Star Wars;160;2011/2012
Star Wars: Das Buch der Sith;Ebene 7;Regal 6;Danielle Wallace;Star Wars;160;2012
Star Wars: Das Buch der Kopfgeldjäger;Ebene 7;Regal 6;Danielle Wallace, Ryder Windham und Jason Fry;Star Wars;160;2013
Star Wars: Geschichten der Sith;Ebene 7;Regal 6;Simon Beecroft;Star Wars;192;2007/2011
Star Wars The Clone Wars - Abenteuer der Jedi;Ebene 7;Regal 6;Simon Beecroft;Star Wars;192;2013
Star Wars: Spüre die Macht und andere spannende Geschichten;Ebene 7;Regal 6;Lisa Stock;Star Wars;176;2013
Star Wars The Clone Wars - Helden der Galaxis;Ebene 7;Regal 6;Clare Hibbert;Star Wars;192;2014
